iter	Passed	Remaining
632	3700	2145
633	3705	2139
634	3710	2132
635	3713	2125
636	3717	2118
637	3721	2111
638	3725	2104
639	3728	2097
640	3739	2094
641	3744	2088
642	3748	2081
643	3751	2074
644	3754	2066
645	3758	2059
646	3762	2052
647	3766	2045
648	3771	2039
649	3775	2033
650	3778	2025
651	3783	2019
652	3788	2012
653	3791	2005
654	3796	1999
655	3801	1993
656	3804	1986
657	3808	1979
658	3814	1974
659	3819	1967
660	3826	1962
661	3830	1955
662	3833	1948
663	3838	1942
664	3842	1935
665	3846	1928
666	3852	1923
667	3856	1916
668	3859	1909
669	3867	1904
670	3871	1898
671	3875	1891
672	3879	1885
673	3883	1878
674	3895	1875
675	3899	1868
676	3906	1863
677	3911	1857
678	3917	1852
679	3923	1846
680	3927	1839
681	3933	1834
682	3938	1828
683	3943	1821
684	3946	1814
685	3950	1808
686	3954	1801
687	3959	1795
688	3964	1789
689	3968	1782
690	3972	1776
691	3976	1769
692	3979	1762
693	3983	1756
694	3988	1750
695	3991	1743
696	3996	1737
697	4000	1730
698	4003	1723
699	4006	1717
700	4012	1711
701	4015	1704
702	4018	1697
703	4024	1692
704	4028	1685
705	4031	1679
706	4037	1673
707	4041	1666
708	4044	1660
709	4048	1653
710	4052	1647
711	4056	1640
712	4059	1634
713	4064	1628
714	4068	1621
715	4071	1614
716	4077	1609
717	4082	1603
718	4085	1596
719	4093	1591
720	4097	1585
721	4101	1579
722	4105	1573
723	4109	1566
724	4115	1561
725	4128	1558
726	4133	1552
727	4137	1545
728	4142	1539
729	4147	1534
730	4153	1528
731	4158	1522
732	4163	1516
733	4170	1511
734	4177	1506
735	4182	1500
736	4194	1496
737	4198	1490
738	4205	1485
739	4211	1479
740	4215	1473
741	4221	1467
742	4225	1461
743	4233	1456
744	4237	1450
745	4241	1444
746	4246	1438
747	4249	1431
748	4252	1425
749	4257	1419
750	4261	1412
751	4264	1406
752	4267	1399
753	4272	1393
754	4276	1387
755	4279	1381
756	4284	1375
757	4288	1369
758	4292	1362
759	4296	1356
760	4299	1350
761	4304	1344
762	4307	1337
763	4311	1331
764	4316	1325
765	4319	1319
766	4322	1313
767	4336	1310
768	4341	1304
769	4345	1298
770	4348	1291
771	4352	1285
772	4356	1279
773	4360	1273
774	4363	1266
775	4366	1260
776	4370	1254
777	4374	1248
778	4377	1241
779	4382	1236
780	4386	1230
781	4389	1223
782	4392	1217
783	4397	1211
784	4401	1205
785	4404	1199
786	4408	1193
787	4412	1187
788	4416	1181
789	4419	1174
790	4425	1169
791	4428	1163
792	4431	1156
793	4436	1151
794	4440	1145
795	4443	1138
796	4446	1132
797	4451	1126
798	4455	1120
799	4458	1114
800	4461	1108
801	4465	1102
802	4469	1096
803	4472	1090
804	4475	1084
